"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4858","Extraer datos de una tabla dinámica","","Thu Feb 05 20:55:36 UTC 2026","passed","Thu Feb 05 20:55:41 UTC 2026","","proyectos_gradle.AdvancedElementsTest","proyectos_gradle.AdvancedElementsTest","testTablas"
"","3147","Pruebas de Login con archivo CSV externo [1] tomsmith, SuperSecretPassword!, You logged into a secure area!","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:45 UTC 2026","","proyectos_gradle.AppTest","proyectos_gradle.AppTest","testLoginConCSV"
"","2624","Crear una nueva publicación (POST)","","Thu Feb 05 20:55:39 UTC 2026","passed","Thu Feb 05 20:55:41 UTC 2026","","proyectos_gradle.ApiTest","proyectos_gradle.ApiTest","testCreatePost"
"","2998","Aceptar y validar una alerta de JavaScript","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:44 UTC 2026","","proyectos_gradle.AdvancedElementsTest","proyectos_gradle.AdvancedElementsTest","testAlertas"
"","3300","Pruebas de Login con archivo CSV externo [2] usuario_error, password123, Your username is invalid!","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:45 UTC 2026","","proyectos_gradle.AppTest","proyectos_gradle.AppTest","testLoginConCSV"
"","3240","Login exitoso en Herokuapp","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:45 UTC 2026","","proyectos_gradle.AppTest","proyectos_gradle.AppTest","testLoginExitoso"
"","7746","Manejo de carga dinámica con esperas explícitas","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:49 UTC 2026","","proyectos_gradle.AppTest","proyectos_gradle.AppTest","testDynamicLoading"
"","3392","Escribir dentro de un editor en un IFrame","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:45 UTC 2026","","proyectos_gradle.AdvancedElementsTest","proyectos_gradle.AdvancedElementsTest","testIFrames"
"","3232","Pruebas de Login con archivo CSV externo [3] admin, admin, Your username is invalid!","","Thu Feb 05 20:55:41 UTC 2026","passed","Thu Feb 05 20:55:45 UTC 2026","","proyectos_gradle.AppTest","proyectos_gradle.AppTest","testLoginConCSV"
"","2519","Validar datos de un usuario","","Thu Feb 05 20:55:39 UTC 2026","passed","Thu Feb 05 20:55:41 UTC 2026","","proyectos_gradle.ApiTest","proyectos_gradle.ApiTest","testGetUserData"
"","7216","Integración: Obtener usuario por API y verificarlo en Wikipedia","","Thu Feb 05 20:55:36 UTC 2026","passed","Thu Feb 05 20:55:44 UTC 2026","","proyectos_gradle.HybridTest","proyectos_gradle.HybridTest","testApiToUi"
"","2244","Validar que el servidor esté arriba","","Thu Feb 05 20:55:38 UTC 2026","passed","Thu Feb 05 20:55:40 UTC 2026","","proyectos_gradle.ApiTest","proyectos_gradle.ApiTest","testHealthCheck"
